Schizothorax integrilabiatus
Gonopsis affinis
Sinogastromyzon szechuanensis
Hemiculter tchangi
Maxomys surifer
Lenothrix canus
Berylmys berdmorei
Sundamys annandalei
Sundamys infraluteus
Sundamys maxi
Paruromys dominator
Halmaheramys bokimekot
Bunomys penitus
Prognichthys sealei
Cheilopogon cyanopterus
Cheilopogon agoo
Parexocoetus brachypterus
Centropyge deborae
Acipenser gueldenstaedtii x Acipenser baerii
Glossogobius giuris
Arius arius
Thryssa hamiltonii
Notonecta chinensis
Ortleppascaris sinensis
Ascaris ovis
Tachysurus fulvidraco x Leiocassis longirostris
Goura victoria
Otidiphaps nobilis
Trugon terrestris
Saccostrea mytiloides
Saccostrea echinata
Carabus lafossei
Bokermannohyla alvarengai
Anodonta cygnea
Triuncina daii
Saccostrea glomerata
Episyrphus balteatus
Trocnadella arisana
Macaca radiata
Phrynosoma blainvillii
Modiolus kurilensis
Pectinodesmus pectinatus
Ancoracysta twista
Lepomis punctatus
Tor malabaricus
Pylodictis olivaris
Lepomis auritus
Manis culionensis
Manis crassicaudata
Muntiacus putaoensis
Eurythenes maldoror
Parascaris equorum
Hypselodoris apolegma
Saccopteryx leptura
Acipenser dabryanus x Acipenser schrenckii
Rhinolophus yunnanensis
Picromerus griseus
Delphinus delphis
Trichobilharzia szidati
Marshallagia marshalli
Lonchura stygia
Lonchura spectabilis
Lonchura nigerrima
Lonchura nevermanni
Lonchura melaena
Lonchura grandis x Lonchura castaneothorax
Lonchura hunsteini
Lonchura forbesi
Lonchura flaviprymna
Lonchura castaneothorax
Lonchura caniceps
Lonchura leucosticta
Coregonus artedi
Salvelinus namaycush
Ameiurus natalis
Otocyon megalotis
Stimulopalpus japonicus
Speleketor irwini
Lachesilla anna
Archipsocus nomas
Amphigerontia montivaga
Prionoglaris stygia
Dorypteryx domestica
Argonauta hians
Pteroptyx maipo
Diaphorina lycii
Amphioctopus marginatus
Electrona carlsbergi
Mesoclemmys hogei
Gelochelidon nilotica
Parapolybia crocea
Incoltorrida madagassica
Monotoma quadricollis
Spheniscus humboldti
Tadarida latouchei
Tadarida teniotis
Atractosteus tristoechus
Myotis martiniquensis
Myotis albescens
Myotis volans
Myotis horsfieldii
Myotis atacamensis
Myotis thysanodes
Myotis melanorhinus
Myotis leibii
Myotis auriculus
Myotis yumanensis
Myotis nigricans
Myotis riparius
Myotis oxyotus
Myotis keaysi
Myotis evotis
Myotis dominicensis
Paratetraonchoides inermis
Calophya schini
Discogobio longibarbatus
Pleuronichthys japonicus
Japananus hyalinus
Spheniscus mendiculus
Maiestas dorsalis
Cyclorhipidion bodoanus
Gnathotrichus materiarius
Anisandrus dispar
Trypodendron signatum
Orthotomicus laricis
Hylastes attenuatus
Pityogenes bidentatus
Pityophthorus pubescens
Dryocoetes autographus
Trypodendron domesticum
Trypophloeus asperatus
Xylosandrus crassiusculus
Dryocoetes villosus
Ips sexdentatus
Xylosandrus germanus
Horatocera niponica
Eucinetus haemorrhoidalis
Tetratoma fungorum
Silvanus bidentatus
Anatis ocellata
Amphizoa insolens
Hydrochus carinatus
Usechus lacerta
Amara communis
Byturus ochraceus
Hylastes brunneus
Tachyta nana
Hippotragus leucophaeus
Botrylloides giganteus
Gymnocypris scleracanthus
Castor canadensis
Cladonia rangiferina
Spheniscus magellanicus
Comephorus dybowskii
Comephorus baicalensis
Usnea ceratina
Apis nuluensis
Gloydius strauchi
Ompok bimaculatus
Osteobrama belangeri
Sicydium salvini
Sicydium altum
Hemieleotris latifasciata
Gobiomorus maculatus
Eleotris picta
Eleotris amblyopsis
Awaous banana
Tagiades litigiosa
Moniezia benedeni
Hydromanicus wulaianus
Erpobdella japonica
Cottus rhenanus
Cottus perifretum
Cottus asper
Aethina tumida
Scaphirhynchus suttkusi
Plasmodium yoelii
Corvus corax
Charybdis natator
Yanocephalus yanonis
Gastrolina thoracica
Melaphis rhois
Manis gigantea
Traulia minuta
Nomadacris japonica
Odontobutis haifengensis
Odontobutis haifengensis
Gyps fulvus
Hippocampus jayakari
Mylabris aulica
Hycleus phaleratus
Hycleus marcipoli
Epicauta tibialis
Epicauta gorhami
Potamotrygon magdalenae
Ondatra zibethicus
Trichopodus pectoralis
Diphyllobothrium stemmacephalum
Bos frontalis
Mastomys coucha
Tringa semipalmata
Taharana fasciana
Cnizocoris sinensis
Carcinocoris binghami
Phymata americana
Schizothorax curvilabiatus
Cyathochromis obliquidens
Chilotilapia rhoadesii
Copadichromis trimaculatus
Atrobucca nibe
Johnius carouna
Carassius auratus x Megalobrama amblycephala x Carassius cuvieri
Xenocypris yunnanensis
Xenograpsus ngatama
Rhipicephalus turanicus
Percina crypta
Etheostoma jessiae
Etheostoma chuckwachatte
Pennahia pawak
Neanthes glandicincta
Halosauropsis macrochir
Favites abdita
Corvus coronoides
Sardinella fijiensis
Maackia herderiana
Baicalia turriformis
Etheostoma tallapoosae
Myocastor coypus
Niviventer cremoriventer
Callosciurus finlaysonii
Callosciurus prevostii
Callosciurus notatus
Sundasciurus lowii
Sundasciurus brookei
Lutrogale perspicillata
Lutra sumatrana
Aquila heliaca
Rana omeimontis
Rana kukunoris
Rana chaochiaoensis
Circus melanoleucos
Mammut americanum
Apis mellifera sahariensis
Godlewskia godlewskia
Alcedo atthis
Hippocampus sindonis
Trichys fasciculata
Leopoldamys sabanus
Sundamys muelleri
Aonyx cinerea
Macaca mulatta
Crocodylus johnsoni
Labichthys carinatus
Steganacarus magnus
Acanthurus lineatus
